6023 78449
0 harry 1214
1 potter 95
2 and 1919
3 the 3628
4 sorcerers 16
5 stone 75
6 chapter 17
7 one 255
8 boy 83
9 who 160
10 lived 9
11 mr 81
12 mrs 46
13 dursley 54
14 of 1259
15 number 17
16 four 32
17 privet 16
18 drive 20
19 were 341
20 proud 7
21 to 1856
22 say 75
23 that 601
24 they 597
25 perfectly 5
26 normal 10
27 thank 8
28 you 863
29 very 172
30 much 76
31 last 82
32 people 92
33 youd 22
34 expect 13
35 be 367
36 involved 5
37 in 964
38 anything 74
39 strange 22
40 or 109
41 mysterious 6
42 because 85
43 just 180
44 didnt 195
45 hold 12
46 with 416
47 such 21
48 nonsense 4
49 was 1186
50 director 2
51 a 1688
52 firm 2
53 called 44
54 grunnings 2
55 which 89
56 made 66
57 drills 6
58 he 1528
59 big 28
60 beefy 1
61 man 33
62 hardly 22
63 any 63
64 neck 18
65 although 11
66 did 101
67 have 297
68 large 51
69 mustache 6
70 thin 10
71 blonde 2
72 had 702
73 nearly 37
74 twice 15
75 usual 18
76 amount 1
77 came 75
78 useful 6
79 as 526
80 she 229
81 spent 11
82 so 238
83 her 179
84 time 119
85 craning 2
86 over 171
87 garden 6
88 fences 1
89 spying 3
90 on 636
91 neighbors 3
92 dursleys 52
93 small 32
94 son 9
95 dudley 116
96 their 217
97 opinion 5
98 there 269
99 no 196
100 finer 2
101 anywhere 7
102 everything 30
103 wanted 46
104 but 483
105 also 15
106 secret 15
107 greatest 5
108 fear 10
109 somebody 3
110 would 108
111 discover 1
112 it 1026
113 think 123
114 could 195
115 bear 5
116 if 245
117 anyone 37
118 found 69
119 out 372
120 about 224
121 potters 18
122 sister 14
123 hadnt 54
124 met 19
125 for 369
126 several 13
127 years 53
128 fact 15
129 pretended 3
130 goodfornothing 1
131 husband 1
132 undursleyish 1
133 possible 12
134 shuddered 3
135 what 342
136 arrived 17
137 street 21
138 knew 64
139 too 101
140 never 126
141 even 105
142 seen 53
143 him 501
144 this 249
145 another 55
146 good 81
147 reason 22
148 keeping 10
149 away 70
150 want 74
151 mixing 2
152 child 2
153 like 194
154 when 177
155 woke 10
156 up 368
157 dull 2
158 gray 11
159 tuesday 3
160 our 41
161 story 11
162 starts 3
163 nothing 55
164 cloudy 2
165 sky 13
166 outside 36
167 suggest 4
168 things 55
169 soon 14
170 happening 4
171 all 397
172 country 4
173 hummed 3
174 picked 16
175 his 937
176 most 30
177 boring 3
178 tie 1
179 work 28
180 gossiped 1
181 happily 5
182 wrestled 1
183 screaming 4
184 into 219
185 high 43
186 chair 10
187 none 11
188 them 325
189 noticed 29
190 tawny 2
191 owl 43
192 flutter 3
193 past 43
194 window 32
195 at 625
196 half 32
197 eight 5
198 briefcase 1
199 pecked 1
200 cheek 4
201 tried 63
202 kiss 3
203 goodbye 6
204 missed 4
205 now 166
206 having 15
207 tantrum 3
208 throwing 10
209 cereal 1
210 walls 16
211 little 71
212 tyke 2
213 chortled 2
214 left 82
215 house 77
216 got 198
217 car 20
218 backed 3
219 fours 2
220 corner 25
221 first 111
222 sign 17
223 something 129
224 peculiar 4
225  876
226 cat 23
227 reading 5
228 map 4
229 second 43
230 realize 10
231 then 165
232 jerked 10
233 head 99
234 around 142
235 look 126
236 again 101
237 tabby 4
238 standing 33
